MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
EBA_GA_GA1005,EBA_GA_EBA_JO,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_SZL,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_BR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_PH,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_RU,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_GHS,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_FO,1,,>=,,1900-01-01,9999-12-31
EBA_MC_MC36,EBA_MC_EBA_x486,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_LB,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_VN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_TK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_GW,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_MZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_BL,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_SM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_BT,1,,>=,,1970-01-01,9999-12-31
EBA_MC_MC74,EBA_MC_EBA_x710,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_AW,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_PN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_RS,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_KZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_FI,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_UM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_NA,1,,>=,,1970-01-01,9999-12-31
EBA_PL_PL41,EBA_PL_EBA_x689,1,,=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_AZ,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_TOP,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_CG,1,,>=,,1900-01-01,9999-12-31
