FACET_ID,FACET_TYPE,OBSERVATION_VALUE
ID_6D_DSH_1L,pattern,\d{6}-[A-Z]
ID_1_TO_8_3D,pattern,[1-8]\d{3}
STRNG_FULL,maxLength,4000
ID_HCX_6D_2D,pattern,"[H,C,X]\d{6}-\d{2}"
ID_18_L_OR_D,pattern,[A-Z0-9]{18}
ID_1D_TO_10D,pattern,"\d{1,10}"
FLL_YYYYMMDD,pattern,([1-9][0-9]{3})((02((0[1-9])|([1-2][0-9])))|(((04)|(06)|(09)|(11))((0[1-9])|([1-2][0-9])|(30)))|(((01)|(03)|(05)|(07)|(08)|(10)|(12))((0[1-9])|([1-2][0-9])|(3[0-1]))))
ID_RS_PIB_CD,pattern,[1-9]\d{8}
ID_LV_FON_CD,pattern,(LV)\d{11}|(LVAF)\d{3}(A|B|\d{1})\d{2}|(LVB)\d{6}|(LVIF)\d{3}(A|B|C|D|E|F|\d{1})\d{2}|(LVVF)\d{6}
ID_LT_INV_CD,pattern,[A-Z]\d{3}|(SF)\d{3}|[A-Z]{3}-\d{2}\/\d{2}|[A-Z]{3}-[A-Z]{4}
ID_1_TO_5_4D,pattern,[1-5]\d{4}
ID_5D_DASH_4D,pattern,[0-9]{5}-[0-9]{4}
RSTRCTD_ID_60,pattern,^[!-~]|([!-~][ -~]*[!-~])$
RSTRCTD_ID_50,pattern,^[A-Za-z0-9_@$\-][!-~]*$
RSTRCTD_ID_52,pattern,^[A-Za-z0-9_@$\-][!-~]*\.[A-Z]$
ID_2L_1_TO_8D,pattern,"[A-Z]{2}\d{1,8}"
LTN_EXT_255,maxLength,255
ID_1L_6D_C_5D,pattern,[A-Z]\d{6}[C]\d{5}
ID_10D_OR_9DK,pattern,\d{10}|\d{9}(K)
ID_SK_8D_3L_2D,pattern,(SK)\d{8}[A-Z]{3}\d{2}
INTGR_NN_NGTV,minValue,0
RL_NN_NGTV_2D,decimals,2
ID_CH_3D_7D_1D,pattern,(CH)\-\d{3}\-\d{7}-\d{1}
ID_2D_3D_3D_3D,pattern,\d{2} \d{3} \d{3} \d{3}
RL_NN_NGTV_2D,minValue,0
FLL_YYYY_MM_DD,pattern,([1-9][0-9]{3})\-((02\-((0[1-9])|([1-2][0-9])))|(((04)|(06)|(09)|(11))\-((0[1-9])|([1-2][0-9])|(30)))|(((01)|(03)|(05)|(07)|(08)|(10)|(12))\-((0[1-9])|([1-2][0-9])|(3[0-1]))))
ID_7D_OR_BC_7D,pattern,"\d{7}| ""BC""\d{7}"
ID_8D_OR_8D_1L,pattern,"\d{8}[a-z]{0,1}"
ID_1_OR_9_D_1_6,pattern,"[1-9]\d{1,6}"
END_QRTR_YYYYMM,pattern,[1-2][0-9]{3}((0(3|6|9))|(12))
RSTRCTD_ID_50,maxLength,50
END_MNTH_YYYYMM,pattern,[1-2][0-9]{3}((0[1-9])|(1[0-2]))
ID_CHE_3D_3D_3D,pattern,(CHE)-\d{3}\.\d{3}\.\d{3}
RSTRCTD_ID_52,maxLength,52
RSTRCTD_ID_60,maxLength,60
ID_FR_10L_OR_10D,pattern,(FR)[A-Z0-9]{10}
ID_3L_6D_3D_OR_L,pattern,[A-Z]{3}-\d{6}-[A-Z0-9]{3}
ID_8D_3D_2D_2D_L,pattern,\d{8}-\d{3}.\d{2}.\d{2}-[A-Z]
ID_GV_4D_OR_LA_3D,pattern,(GV)\d{4}|(LA)\d{3}
ID_VAR_LEN_D_DASH,pattern,\d+(-\d+)?
ID_2D_3D_3D_4D_2D,pattern,\d{2}.\d{3}.\d{3}\/\d{4}-\d{2}
ID_FL_4D_3D_3D_1D,pattern,(FL)-\d{4}.\d{3}.\d{3}-\d{1}
ID_DE_TRD_RGSTR_CD,pattern,"((G(n|N)R)|(HRA)|(HRB)|(PR)|(VR))\d{1,6}[A-Z]{0,5}-[A-Z]\d{4}"
END_QRTR_YYYY_MM_DD,pattern,(.{4}\-03\-31)|(.{4}\-06\-30)|(.{4}\-09\-30)|(.{4}\-12\-31)
FLL_YYYYMMDD,dateFormatDISC,YYYYMMDD
END_MNTH_YYYY_MM_DD,pattern,(.{4}\-((01)|(03)|(05)|(07)|(08)|(10)|(12))\-31)|(.{4}\-02\-((28)|(29)))|(.{4}\-((04)|(06)|(09)|(11))\-30)
ID_CH_3D_1D_3D_3D_1D,pattern,(CH)-\d{3}\.\d{1}\.\d{3}\.\d{3}\-\d{1}
ID_2D_3D_3D_1D_3D_3D,pattern,\d{2}.\d{3}.\d{3}.\d{1}-\d{3}.\d{3}
ID_FB5D_OR_FB3D_1L_2D,pattern,(FB)\d{6}|(FB)\d{3}[A-Z]\d{2}
FLL_YYYY_MM_DD,dateFormatDISC,YYYY-MM-DD
END_MNTH_YYYYMM,dateFormatDISC,YYYYMM
FLL_YYYY_MM_DD_T_HH24_MI_SS,pattern,([1-9][0-9]{3})\-((02\-((0[1-9])|([1-2][0-9])))|(((04)|(06)|(09)|(11))\-((0[1-9])|([1-2][0-9])|(30)))|(((01)|(03)|(05)|(07)|(08)|(10)|(12))\-((0[1-9])|([1-2][0-9])|(3[0-1]))))T([01]?[0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9]
ID_2D_3D_3D_KORD_OR_8D_KORD,pattern,\d{2}.\d{3}.\d{3}-[K0-9]|\d{8}-[K0-9]
RSTRCTD_ID_50_WTHT_LT_BLNKS_ONLY,pattern,^[A-Za-z0-9_@$\-][ -~]*[!-~]$
RSTRCTD_ID_50_WTHT_LT_BLNKS_ONLY,maxLength,50
ID_1_TO_2_3_TO_5_OR_D_4D_2D_OR_2D_2D_4D_2D,pattern,"\d{1,2}-\d{3,5}|\d{1}-\d{4}-\d{2}|\d{2}-\d{2}-\d{4}-\d{2}"
STRNG_2,maxLength,2
STRNG_1,maxLength,1
STRNG_10,maxLength,10
