VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
SHS_ENTITY_NAME,ECB2_ENTITY_NAME,true,1999-01-01,9999-12-31
SHS_TIME_PERIOD,ECB2_TIME_PERIOD,true,1999-01-01,9999-12-31
SHS_TPH,THRD_PRTY_HLDNG_AGGRGTN,false,1999-01-01,9999-12-31
SHS_COUPON_TYPE,ECB2_COUPON_TYPE,true,1999-01-01,9999-12-31
SHS_LAST_COUPON_FREQ,CPN_FRQNCY,false,1999-01-01,9999-12-31
SHS_HOLDER_AREA,ECB2_HOLDER_AREA,true,1999-01-01,9999-12-31
SHS_TRN_MRKT_VL,ECB2_TRN_MRKT_VL,true,1999-01-01,9999-12-31
SHS_ISSUER_NAME,ECB2_ISSUER_NAME,true,1999-01-01,9999-12-31
SHS_REDEMPTION_PRICE,PRC_RDMPTN,false,1999-01-01,9999-12-31
SHS_INSTR_CLASS,ECB2_INSTR_CLASS,true,1999-01-01,9999-12-31
SHS_ISSUE_PRICE,ECB2_ISSUE_PRICE,true,1999-01-01,9999-12-31
SHS_COLLATERAL_AREA,CLLTRL_LCTN,false,1999-01-01,9999-12-31
SHS_PRICE_VALUE_TYPE,PRC_VL_TYP,false,1999-01-01,9999-12-31
SHS_LAST_SPLIT_FACTOR,SPLT_FCTR,false,1999-01-01,9999-12-31
SHS_TRN_MRKT_VL,TRNSCTN_MRKT_VL,false,1999-01-01,9999-12-31
SHS_FRBRNC_STTS,ECB2_FRBRNC_STTS,true,1999-01-01,9999-12-31
SHS_EXR_MRKT_VL,ECB2_EXR_MRKT_VL,true,1999-01-01,9999-12-31
SHS_OWN_MRKT_VL,ECB2_OWN_MRKT_VL,true,1999-01-01,9999-12-31
SHS_GROUP_ID,RPRTNG_AGNT_GRP_ID,false,1999-01-01,9999-12-31
SHS_ENTITY_AREA,ECB2_ENTITY_AREA,true,1999-01-01,9999-12-31
SHS_OTH_MRKT_VL,ECB2_OTH_MRKT_VL,true,1999-01-01,9999-12-31
SHS_CRRYNG_AMNT,ECB2_CRRYNG_AMNT,true,1999-01-01,9999-12-31
SHS_ISSUER_COUNTRY,AREA_ISSR_SHS,false,1999-01-01,9999-12-31
SHS_QUOTATION_BASIS,QTTN_BSS_TYP,false,1999-01-01,9999-12-31
SHS_ACCNTNG_CLSSFCTN,RCGNTN_STTS,false,1999-01-01,9999-12-31
SHS_SENIORITY_TYPE,SCRTY_RNK_LVL,false,1999-01-01,9999-12-31
SHS_GROUP_SECTOR,ECB2_GROUP_SECTOR,true,1999-01-01,9999-12-31
SHS_GUARANTOR_ID,ECB2_GUARANTOR_ID,true,1999-01-01,9999-12-31
SHS_PRFRMNG_STTS,ECB2_PRFRMNG_STTS,true,1999-01-01,9999-12-31
SHS_AMOUNT_OUT,OTSTNDNG_NMNL_AMNT,false,1999-01-01,9999-12-31
SHS_REP_NOM_CURR,ECB2_REP_NOM_CURR,true,1999-01-01,9999-12-31
SHS_SENIORITY_TYPE,SCRTY_GRNT_LVL,false,1999-01-01,9999-12-31
SHS_DT_FRBRNC_STTS,DT_FRBRNC_STTS,false,1999-01-01,9999-12-31
SHS_SRC_ENCMBRNC,ECB2_SRC_ENCMBRNC,true,1999-01-01,9999-12-31
SHS_PRI_MRKT_VL,PRC_RVLTN_MRKT_VL,false,1999-01-01,9999-12-31
SHS_DFLT_STTS_ISSR,DFLT_STTS_ISSR,false,1999-01-01,9999-12-31
SHS_ACCR_INTR_MV,ECB2_ACCR_INTR_MV,true,1999-01-01,9999-12-31
SHS_ARREARS_DATE,ECB2_ARREARS_DATE,true,1999-01-01,9999-12-31
SHS_PRDNTL_PRTFL,ECB2_PRDNTL_PRTFL,true,1999-01-01,9999-12-31
SHS_EXR_MRKT_VL,EXCHNG_RT_MRKT_VL,false,1999-01-01,9999-12-31
SHS_UNIT_MEASURE,ECB2_UNIT_MEASURE,true,1999-01-01,9999-12-31
SHS_IMPRMNT_STTS,ECB2_IMPRMNT_STTS,true,1999-01-01,9999-12-31
SHS_ENTITY_SECTOR,INSTTTNL_SCTR_LE,false,1999-01-01,9999-12-31
SHS_DIVIDEND_CURRENCY,DVDND_CRRNCY,false,1999-01-01,9999-12-31
SHS_INSTR_CLASS,ORGNL_MTRTY_INTRVL,false,1999-01-01,9999-12-31
SHS_SECURITY_STATUS,SCRTY_STTS_DTL,false,1999-01-01,9999-12-31
SHS_IS_IN_EADB,EADB_ELGBLTY_INDCTR,false,1999-01-01,9999-12-31
SHS_MONTH_AV_PRICE,MNTHLY_AVRG_PRC,false,1999-01-01,9999-12-31
SHS_GUARANTOR_ID_TYPE,TYP_GRNTR_ID,false,1999-01-01,9999-12-31
SHS_GROUP_SECTOR,GRP_INSTTTNL_SCTR,false,1999-01-01,9999-12-31
SHS_ENTITY_STATUS,ECB2_ENTITY_STATUS,true,1999-01-01,9999-12-31
SHS_HOLDER_SECTOR,ECB2_HOLDER_SECTOR,true,1999-01-01,9999-12-31
SHS_ISSUER_SECTOR,ECB2_ISSUER_SECTOR,true,1999-01-01,9999-12-31
SHS_ORIG_MAT_DAYS,ECB2_ORIG_MAT_DAYS,true,1999-01-01,9999-12-31
SHS_COMPILING_ORG,ECB2_COMPILING_ORG,true,1999-01-01,9999-12-31
SHS_ACCR_INTEREST,ECB2_ACCR_INTEREST,true,1999-01-01,9999-12-31
SHS_IDENTIFIER_TYPE,TYP_INSTRMNT_ID,false,1999-01-01,9999-12-31
SHS_DT_PRFRMNG_STTS,DT_PRFRMNG_STTS,false,1999-01-01,9999-12-31
SHS_MARKET_CAP_EUR,MRKT_CPTLSTN_EUR,false,1999-01-01,9999-12-31
SHS_GROUP_ID_TYPE,ECB2_GROUP_ID_TYPE,true,1999-01-01,9999-12-31
SHS_COMPILING_ORG,RPRTNG_INSTTTN_CD,false,1999-01-01,9999-12-31
SHS_INTERN_ORG_CODE,CSDB_ORGNSTN_CD,false,1999-01-01,9999-12-31
SHS_NOMINAL_VALUE,ECB2_NOMINAL_VALUE,true,1999-01-01,9999-12-31
SHS_ENTITY_SECTOR,ECB2_ENTITY_SECTOR,true,1999-01-01,9999-12-31
SHS_ACCMLTD_IMPRMNT,ACCMLTD_IMPRMNT,false,1999-01-01,9999-12-31
