COMBINATION_ID,CODE,NAME,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO,METRIC
F_04_03_1_REF_FINREP_3_0_152823_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152824_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152825_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152826_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152827_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152828_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152829_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152830_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152831_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152832_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152833_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152834_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152835_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152836_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152837_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152838_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152839_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152840_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152841_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152842_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152843_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152844_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152845_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152846_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152847_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152848_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152849_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152873_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152875_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152877_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152879_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152912_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152913_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152914_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152915_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152916_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152917_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152918_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152919_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152920_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152921_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152922_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152923_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152924_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152925_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152926_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152927_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152928_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152929_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152930_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152931_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152932_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152933_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152934_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152935_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152936_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152937_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152938_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152939_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152940_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152941_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152942_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152943_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152944_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152945_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152946_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152947_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152948_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152949_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152950_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152951_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152952_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152953_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152954_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152955_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152956_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152957_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152958_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152959_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152960_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152961_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152962_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152963_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152964_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152965_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152966_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152967_REF,,,,,,,GRSS_CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152980_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152981_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152982_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152983_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152984_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152985_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152986_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152987_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152988_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
F_04_03_1_REF_FINREP_3_0_152989_REF,,,,,,,ACCMLTD_PRTL_WRTFFS
