ID,CUBE_ID,COMBINATION_ID
23283,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_153876_REF
23284,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430428_REF
23285,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0_431138_REF
23286,F_19_00_e_REF_FINREP_3_0,F_19_00_e_REF_FINREP_3_0_429205_REF
23287,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_153861_REF
23288,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154987_REF
23289,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154950_REF
23290,F_18_00_d_REF_FINREP_3_0,F_18_00_d_REF_FINREP_3_0_431129_REF
23291,F_08_01_a_REF_FINREP_3_0,F_08_01_a_REF_FINREP_3_0_151266_REF
23292,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_152298_REF
23293,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_429907_REF
23294,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154543_REF
23295,F_18_00_e_REF_FINREP_3_0,F_18_00_e_REF_FINREP_3_0_433903_REF
23296,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154722_REF
23297,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_154301_REF
23298,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_454895_REF
23299,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_430932_REF
23300,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0_434051_REF
23301,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_152328_REF
23302,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_429181_REF
23303,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155540_REF
23304,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_441933_REF
23305,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154162_REF
23306,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_153667_REF
23307,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_153948_REF
23308,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154614_REF
23309,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_155048_REF
23310,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430155_REF
23311,F_15_00_b_REF_FINREP_3_0,F_15_00_b_REF_FINREP_3_0_67083_REF
23312,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_429165_REF
23313,F_08_01_a_REF_FINREP_3_0,F_08_01_a_REF_FINREP_3_0_151263_REF
23314,F_15_00_b_REF_FINREP_3_0,F_15_00_b_REF_FINREP_3_0_149790_REF
23315,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_155585_REF
23316,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_456892_REF
23317,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_153970_REF
23318,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_152184_REF
23319,F_19_00_c_REF_FINREP_3_0,F_19_00_c_REF_FINREP_3_0_430565_REF
23320,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430232_REF
23321,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_429187_REF
