AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
EBA_AE_EBA_F_36_02_b_AE_3_0_1,,X,,EBA_AE_EBA_F_36_02_b_AE_3_0_1,,,
EBA_AE_EBA_F_36_02_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_36_02_b_AE_3_0_2,,,
EBA_AE_EBA_F_36_02_b_AE_3_2_1,,X,,EBA_AE_EBA_F_36_02_b_AE_3_2_1,,,
EBA_AE_EBA_F_36_02_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_36_02_b_AE_3_2_2,,,
EBA_AE_EBA_F_36_02_c_AE_2014-03_1,,X,,EBA_AE_EBA_F_36_02_c_AE_2014-03_1,,,
EBA_AE_EBA_F_36_02_c_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36_02_c_AE_2014-03_2,,,
EBA_AE_EBA_F_36_02_c_AE_3_0_1,,X,,EBA_AE_EBA_F_36_02_c_AE_3_0_1,,,
EBA_AE_EBA_F_36_02_c_AE_3_0_2,,Y,,EBA_AE_EBA_F_36_02_c_AE_3_0_2,,,
EBA_AE_EBA_F_36_02_c_AE_3_2_1,,X,,EBA_AE_EBA_F_36_02_c_AE_3_2_1,,,
EBA_AE_EBA_F_36_02_c_AE_3_2_2,,Y,,EBA_AE_EBA_F_36_02_c_AE_3_2_2,,,
EBA_FINREP_EBA_F_00_01_FINREP_1,,X,,EBA_FINREP_EBA_F_00_01_FINREP_1,,,
EBA_FINREP_EBA_F_00_01_FINREP_2,,Y,,EBA_FINREP_EBA_F_00_01_FINREP_2,,,
EBA_FINREP_EBA_F_00_01_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_00_01_FINREP_3_0-Ind_1,,,
EBA_FINREP_EBA_F_00_01_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_00_01_FINREP_3_0-Ind_2,,,
EBA_FINREP_EBA_F_01_01_FINREP_2016-A_1,,X,,EBA_FINREP_EBA_F_01_01_FINREP_2016-A_1,,,
EBA_FINREP_EBA_F_01_01_FINREP_2016-A_2,,Y,,EBA_FINREP_EBA_F_01_01_FINREP_2016-A_2,,,
EBA_FINREP_EBA_F_01_01_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_01_01_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_01_01_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_01_01_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_01_01_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_01_01_FINREP_3_0-Ind_1,,,
EBA_FINREP_EBA_F_01_01_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_01_01_FINREP_3_0-Ind_2,,,
EBA_FINREP_EBA_F_01_02_FINREP_2016-A_1,,X,,EBA_FINREP_EBA_F_01_02_FINREP_2016-A_1,,,
EBA_FINREP_EBA_F_01_02_FINREP_2016-A_2,,Y,,EBA_FINREP_EBA_F_01_02_FINREP_2016-A_2,,,
EBA_FINREP_EBA_F_01_02_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_01_02_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_01_02_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_01_02_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_01_02_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_01_02_FINREP_3_0-Ind_1,,,
EBA_FINREP_EBA_F_01_02_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_01_02_FINREP_3_0-Ind_2,,,
EBA_FINREP_EBA_F_01_03_FINREP_1,,X,,EBA_FINREP_EBA_F_01_03_FINREP_1,,,
EBA_FINREP_EBA_F_01_03_FINREP_2,,Y,,EBA_FINREP_EBA_F_01_03_FINREP_2,,,
EBA_FINREP_EBA_F_01_03_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_01_03_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_01_03_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_01_03_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_01_03_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_01_03_FINREP_3_0-Ind_1,,,
EBA_FINREP_EBA_F_01_03_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_01_03_FINREP_3_0-Ind_2,,,
EBA_FINREP_EBA_F_02_00_FINREP_2016-A_1,,X,,EBA_FINREP_EBA_F_02_00_FINREP_2016-A_1,,,
EBA_FINREP_EBA_F_02_00_FINREP_2016-A_2,,Y,,EBA_FINREP_EBA_F_02_00_FINREP_2016-A_2,,,
EBA_FINREP_EBA_F_02_00_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_02_00_FINREP_2017-A_1,,,
