MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
,LNG_DBT_SCRTY_PSTN_ENCMBRNC_DRVD_DT,LNG_DBT_SCRTY_PSTN_ENCMBRNC_DRVD_DT,,,,,
,LNG_EQTY_FND_SCRYT_PSTN_ENCMBRNC_DT,LNG_EQTY_FND_SCRYT_PSTN_ENCMBRNC_DT,,,,,
,LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT,,,,,
,LNG_SCRTY_PSTN_HDG,LNG_SCRTY_PSTN_HDG,,,,,
,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT,,,,,
,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,
,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT,,,,,
,LNG_SCRTY_PSTN_PRTCTN_ARRNGMNT_GVN_ASSGNMNT,LNG_SCRTY_PSTN_PRTCTN_ARRNGMNT_GVN_ASSGNMNT,,,,,
,LNKD_ENTRPRS_ASSGNMNT,LNKD_ENTRPRS_ASSGNMNT,,,,,
,LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNC_HDG,LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNC_HDG,,,,,
,LogEntry,LogEntry,,,,,
,MAINTENANCE_AGENCY,MAINTENANCE_AGENCY,,,,,
,MAPPING_DEFINITION,MAPPING_DEFINITION,,,,,
,MAPPING_TO_CUBE,MAPPING_TO_CUBE,,,,,
,MEMBER,MEMBER,,,,,
,MEMBER_HIERARCHY,MEMBER_HIERARCHY,,,,,
,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE,,,,,
,MEMBER_LINK,MEMBER_LINK,,,,,
,MEMBER_MAPPING,MEMBER_MAPPING,,,,,
,MEMBER_MAPPING_ITEM,MEMBER_MAPPING_ITEM,,,,,
,MSTR_AGRMNT,MSTR_AGRMNT,,,,,
,MSTR_AGRMNT_ENTTY_RL_ASSGNMNT,MSTR_AGRMNT_ENTTY_RL_ASSGNMNT,,,,,
,MSTR_AGRMNT_FNNCL_CNTRCT_ASSGNMNT,MSTR_AGRMNT_FNNCL_CNTRCT_ASSGNMNT,,,,,
,MetaDataTrail,MetaDataTrail,,,,,
