ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
2166,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
2167,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__PRPS,PRPS,,,,,,,,,,,,
2168,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2169,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
2170,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
2171,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__DFLT_STTS,DFLT_STTS,,,,,,,,,,,,
2172,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
2173,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2174,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2175,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__ENTRPRS_SZ,ENTRPRS_SZ,,,,,,,,,,,,
2176,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__TYP_CLLTRL,TYP_CLLTRL,,,,,,,,,,,,
2177,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__ACCMLTD_IMPRMNT,ACCMLTD_IMPRMNT,,,,,,,,,,,,
2178,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
2179,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2180,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2181,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__ENTRPRS_SZ,ENTRPRS_SZ,,,,,,,,,,,,
2182,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
2183,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
2184,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
2185,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
2186,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
2187,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
2188,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
2189,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
2190,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
2191,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
2192,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
