Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
3ae4f34e-20a2-47a9-9f7d-77e0861bebc9,Debt financing according to AnaCredit indicator (Input Layer),71,DBT_FNNCNG_ANCRDT_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
C61837BA-EE22-B7C9-5B27-D4963DF3823F,Debt security by accounting standard,72,DBT_SCRTY_ACCNTNG_STNDRD_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
62B20311-635D-6748-07D2-7B2073F308A8,Debt security by accounting standard (Input Layer),73,DBT_SCRTY_ACCNTNG_STNDRD_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
0137BDD0-C69F-6D8D-4B9A-D7E4094FE17F,Debt security by performing status type,74,DBT_SCRTY_PRFRMNG_STTS_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
D629749B-0E35-2CD3-58B6-5E9AA7F0CAD0,Debt security by performing status type (Input Layer),75,DBT_SCRTY_PRFRMNG_STTS_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
F06A6E7E-DA4F-BB51-E623-CEDF1878CA50,Debt security issued prudential portfolio type,76,DBT_SCRTY_ISSD_PRDNTL_PRTFL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
B0FBF051-B5B4-181C-94E0-4D41EDAEAC87,Debt Security Issued prudential portfolio type (Input Layer),77,DBT_SCRTY_ISSD_PRDNTL_PRTFL_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
D51655F7-C1E9-739D-EDF2-14EC9D6264A9,Debt security issued type,78,DBT_SCRTY_ISSD_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
9EFEC168-8435-3274-B8B8-3DC3846FF31D,Debt security type,79,DBT_SCRTY_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
9BEB51AD-3E96-832B-92B2-89F5DC2CB45E,Debt security with underlying assets type,80,DBT_SCRTY_WTH_UNDRLYNG_ASSTS_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
E2F8CF5E-E071-3348-98B0-B7337855924A,Default status,81,DFLT_STTS,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
E143E0AF-BEFA-97C8-5132-46D919C36AC4,Default status type,82,DFLT_STTS_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
41d6741c-742f-41aa-a980-57007f5d48e1,Default status type (Input Layer),83,DFLT_STTS_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
8BDB8CC0-B263-4089-77D4-AD28E3DF4EE4,Deposit type,84,DPST_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
00FA2D93-66D1-EE2F-3A65-9EE72AB6BAA8,Derived default status,85,DRVD_DFLT_STTS,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
0F4AEE41-2C04-1243-46F9-4EEE91ED64A1,Domestic activities indicator,86,DMSTC_ACTVT_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
8C6721F0-2E20-F8AA-3D71-80F080E08DAD,Domestic branch indicator,87,DMSTC_BRNCH_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
108D597C-BD84-FF5B-FA44-95FCD4BC53C0,Domestic institutional unit indicator,88,DMSTC_INSTTTNL_UNT_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
F93EA851-DEF5-4958-4B6D-D58EFDF4BA5F,Early redemptions included indicator,89,ERLY_RDMPTN_INCLSN_INDCTR_SHSG4_ISIN_ERLY_RDMPTN_INCLSN_INDCTR_REF,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
fa21b11e-fd42-4f62-b7fd-478b2ef18573,ECAI/ECA - full domain,90,ECAI_ECA,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
99DE0662-BAB5-5473-EAD0-5714FAC4965C,Economy,91,ECNMY,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
38B10772-0D03-E2A7-D031-EAA5E064042F,Eligible as guarantee indicator,92,ELGBL_GRNT_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
8614909E-4EAC-4979-06FF-442EB3E14563,Eligible as guarantee indicator (Input Layer),93,ELGBL_GRNT_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
03d8986e-b5e3-43d2-bbd7-d9dea6560300,Eligible for central bank funding,94,ELGBL_CNTRL_BNK_FNDNG,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
bd667864-6829-4211-ab93-7bd38c4f9897,Eligible for central bank fundung (Input Layer),95,ELGBL_CNTRL_BNK_FNDNG_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
B96EE010-4F41-1FB7-E4B6-299084918D1E,Employee benefit type,96,EMPLY_BNFT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
B601809B-D51A-4008-91C7-43667208E447,Encumbered asset indicator,97,ENCMBRD_ASST_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
45FC4E9A-046E-50D7-131C-1DA9FB642E60,Encumbered asset indicator (Input layer),98,ENCMBRD_ASST_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
E2A1ED29-367C-4FC6-B9D6-D8848A1F0315,Enterprise indicator,99,ENTRPRS_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
e3fdd98e-e8f8-4b11-b39e-169ab29513c7,Enterprise indicator (Input Layer),100,ENTRPRS_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
5E9EDC31-A8EC-4BB3-0052-1A81C1ED476C,Enterprise size,101,SZ_RIAD_CLLCTN,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
2F7E5F53-5754-4379-8BB8-625E1403A9A0,Enterprise size calculated (previous period),102,SZ_CLCLTD_PRVS_PRD,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
3360CB3E-B1D5-1A1E-E6DE-8D445E94D297,Entity group role type,103,ENTTY_GRP_RL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
5DBBA043-C341-3470-A831-EFC982957AF9,Entity role type,104,ENTTY_RL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
34E648F0-659F-BC2F-B77B-7463468C1EF7,Entity transaction role type,105,ENTTY_TRNSCTN_RL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
10511173-094A-64DC-444F-BD030BDC9776,Equity factor type,106,EQUTY_FCTR_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
B55E4E08-49CB-F21C-495A-01DDCAA97E8B,Equity or fund security type,107,EQTY_FND_SCRTY,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
D5A78DCE-8703-E3CF-082B-D306CB451D35,European Union member country type,108,EU_CNTRY_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
1985EA03-5BAF-52C1-1BB9-88075464A043,European Union member postal code type,109,EU_PSTL_CD_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
3BA0212B-76FC-210D-AA7F-43800529F184,Exchange tradable derivative asset or liability position role type,110,EXCHNG_TRDBL_DRVTV_ASST_LBLTY_PSTN_RL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
1BABA987-329F-D67A-BD60-57824795569D,Exchange tradable derivative asset position type,111,EXCHNG_TRDBL_DRVTV_ASST_PSTN_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
99D8F2F6-FFEE-2117-7B3D-E36228C4A4F3,Exchange tradable derivative liability position type,112,EXCHNG_TRDBL_DRVTV_LBLTY_PSTN_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
029FBD17-0ECF-4F0D-854A-27FB5B15C2CF,Exchange tradable derivative position hedge accounting standard type,113,EXCHNG_TRDBL_DRVTV_PSTN_HDG_ACCNTNG_STNDRD_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
